name,ttl,type,value
"nodaluxe.com","3600","NETLIFY","nodaluxe.netlify.app"
"www.nodaluxe.com","3600","NETLIFY","nodaluxe.netlify.app"
"nodaluxe.com","3600","NETLIFYv6","nodaluxe.netlify.app"
"www.nodaluxe.com","3600","NETLIFYv6","nodaluxe.netlify.app"
"nodaluxe.com","14400","MX","mx1.hostinger.com"
"nodaluxe.com","14400","MX","mx2.hostinger.com"
"resend._domainkey.nodaluxe.com","3600","TXT","p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQDrVFd0y5xcfKIRnj54OTtfIEtCeQlRmievhEQqYyK+OEN2H1W3mo6QcNn0Xs2ydQtZv4rYu0QbBwnpVxMZHm4UkIIQhryBl3fonHCcifJz3KbcPwlkk+bqA99AcIQLLK4EdOtXQhnzJ7rF3IRZOaDyTZJIKdXo/NBkR096m5+BJQIDAQAB"
"send.nodaluxe.com","3600","MX","feedback-smtp.us-east-1.amazonses.com"
"nodaluxe.com","22","TXT","v=spf1 include:_spf.mail.hostinger.com ~all"
"hostingermail-a._domainkey.nodaluxe.com","300","CNAME","hostingermail-a.dkim.mail.hostinger.com"
"hostingermail-c._domainkey.nodaluxe.com","300","CNAME","hostingermail-c.dkim.mail.hostinger.com"
"_dmarc.nodaluxe.com","3600","TXT","v=DMARC1; p=none"
"_dmarc.nodaluxe.com","30","TXT","v=DMARC1; p=none;"
"nodaluxe.com","3600","TXT","v=spf1 include:_spf.mail.hostinger.com ~all"
"hostingermail-b._domainkey.nodaluxe.com","300","CNAME","hostingermail-b.dkim.mail.hostinger.com"
"_dmarc.nodaluxe.com","31","TXT","v=DMARC1; p=none;"
